OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;Volume;Volume_Formule;longueur;largeur;hauteur;Volume_1;hauteur_2;longueur_2;largeur_2;Volume_2;hauteur_3;longueur_3;largeur_3;Volume_3;hauteur_4;longueur_4;largeur_4;Volume 4;hauteur_5;longueur_5;largeur_5;Volume_5;Equipe;Nb_boites;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
58;1;57;58;;;DCIM/rivrimouski_20240825101656.jpg;2024/08/25 10:15:29.958;"{""Ch""}";5;M;1;60;35;5;"{""RG""}";{95035f73-24ca-4cbd-85a5-739069631bd5};Non;35.3173333333333;35,31733333;880;286,6666667;140;35317333,33;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;250;210;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
59;1;58;59;;;DCIM/rivrimouski_20240825102144.jpg;2024/08/25 10:20:34.391;"{""Ch""}";10;M;1;65;30;5;"{""RG""}";{4527de3c-1861-4a3f-bc5c-4f104e30236d};Non;166.40625;166,40625;2500;266,25;250;166406250;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;500;350;200;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
60;1;59;60;;;DCIM/rivrimouski_20240825102353.jpg;2024/08/25 10:22:48.350;"{""Ch""}";5;M;1;80;15;5;"{""RG""}";{b19fdbae-bf44-4731-bc4e-d90dc5a9e75f};Non;19.5;19,5;1300;150;100;19500000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;100;200;150;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
61;1;60;61;;;DCIM/rivrimouski_20240825104651.jpg;2024/08/25 10:45:21.161;"{""Ch""}";10;P;1;80;20;;"{""RG""}";{10600361-9279-4e19-8daa-20ab1dc256e9};Non;24.675;24,675;1410;125;140;24675000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;70;110;140;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
62;1;61;62;;;DCIM/rivrimouski_20240825105050.jpg;2024/08/25 10:49:11.276;"{""Ch""}";10;P;2;70;30;;"{""RG""}";{32221022-9878-43e0-9d62-90eeeb62b42c};Non;144.396;144,396;1440;477,5;210;144396000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;400;510;450;550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
63;1;62;63;;;DCIM/rivrimouski_20240825105421.jpg;2024/08/25 10:52:38.710;"{""Ch""}";10;M;2;55;40;5;"{""RG""}";{85bf4db7-dce3-400a-b019-27da71648015};Non;128.84375;128,84375;1330;387,5;250;128843750;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;330;340;380;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
64;1;63;64;;;DCIM/rivrimouski_20240825110058.jpg;2024/08/25 11:00:15.500;"{""Ch""}";5;M;1;50;5;45;"{""RG""}";{3c72de61-676f-4e63-8de3-9067db4e8c37};Non;8.11533333333333;8,115333333;470;123,3333333;140;8115333,333;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;190;130;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
65;1;64;65;;;DCIM/rivrimouski_20240825110504.jpg;2024/08/25 11:03:03.431;"{""Ch""}";5;M;2;50;50;;"{""RG""}";{8f0dbdb8-0502-4a2b-8ecf-98f8a6e15d07};Non;47.2505;47,2505;1210;355;110;47250500;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;510;380;290;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
66;1;65;66;;;DCIM/rivrimouski_20240825111046.jpg;2024/08/25 11:09:39.226;"{""Ch""}";5;P;1;80;15;5;"{""RG""}";{0b4885c3-a18c-4d6f-aaeb-ded6b02c3e6a};Non;26.4;26,4;1200;200;110;26400000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;130;250;220;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
67;1;66;67;;;DCIM/rivrimouski_20240825111437.jpg;2024/08/25 11:13:24.334;"{""Ch""}";5;D;1;40;50;10;"{""RG""}";{844026b1-fa6c-4698-a9ff-3079572da30b};Non;20.1166666666667;20,11666667;500;236,6666667;170;20116666,67;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;220;300;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
68;1;67;68;;;DCIM/rivrimouski_20240825111710.jpg;2024/08/25 11:16:24.456;"{""Ch""}";5;D;1;50;50;;"{""RG""}";{ba4ea656-0bf6-480a-88bc-89b3611133c8};Non;17.875;17,875;1300;275;50;17875000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;380;210;300;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
69;1;68;69;;;DCIM/rivrimouski_20240825112209.jpg;2024/08/25 11:20:20.236;"{""Bc""}";5;D;1;90;10;;"{""RG""}";{129629a4-41a3-4934-a389-45d637b3c61d};Non;13.244;13,244;1540;107,5;80;13244000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;40;100;80;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
70;1;69;70;;;DCIM/rivrimouski_20240825112557.jpg;2024/08/25 11:23:07.100;"{""Bc""}";10;D;1;75;15;10;"{""RG""}";{3b61c2c6-2945-4dde-892d-a4f42d342b82};Non;98.316;98,316;2040;90;110;20196000;150;1680;310;78120000;;;;0;;;;0;;;;0;MT LP;2;T;;;;;20;60;120;160;;;510;350;180;200;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
71;1;70;71;;;DCIM/rivrimouski_20240825113050.jpg;2024/08/25 11:28:53.357;"{""Bc""}";18;D;1;90;10;;"{""RG""}";{b2ac3c54-0c4a-4b07-9874-fbe2e6c97f6a};Non;97.755;97,755;1470;332,5;200;97755000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;400;280;200;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
72;1;71;72;;;DCIM/rivrimouski_20240825121746.jpg;2024/08/25 12:14:00.641;"{""Ch""}";5;D;1;60;30;10;"{""RG""}";{45f06918-3934-48bf-8852-9d1f697d551e};Non;113.985;113,985;1800;372,5;170;113985000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;500;440;200;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
73;1;72;73;;;DCIM/rivrimouski_20240825122029.jpg;2024/08/25 12:18:52.279;"{""Ch""}";5;D;2;60;20;20;"{""RG""}";{b281f77c-c9aa-43a0-9e3c-3f81725c4392};Non;5.72;5,72;440;260;50;5720000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;230;350;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
74;1;73;74;;;DCIM/rivrimouski_20240825123116.jpg;2024/08/25 12:29:55.094;"{""Ch""}";5;D;1;80;10;10;"{""RG""}";{991eea59-6304-436e-bab1-f4dab388fcee};Non;7.27466666666667;7,274666667;440;206,6666667;80;7274666,667;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;220;200;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
75;1;74;75;;;;2024/08/25 12:52:00.548;"{""Ch""}";5;M;1;80;20;;"{""RG""}";{60087d37-3d7d-487c-8ada-0bbaa75ff96f};Non;9.18;9,18;900;170;60;9180000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;20;200;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
76;1;75;76;;;DCIM/rivrimouski_20240825131315.jpg;2024/08/25 13:11:43.659;"{""Ch""}";5;D;2;40;50;10;"{""RG""}";{e115f132-0d25-47c8-8851-3ac45112bc34};Non;20;20;1000;200;100;20000000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;150;200;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
77;1;76;77;;;DCIM/rivrimouski_20240825132231.jpg;2024/08/25 13:20:51.531;"{""Ch""}";5;P;2;50;30;20;"{""RG""}";{689905fe-9ad8-42a4-8646-cb0033cdcef9};Non;35.904;35,904;880;226,6666667;180;35904000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;220;260;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
78;1;77;78;;;;2024/08/25 13:23:57.785;"{""Ch""}";5;P;1;80;10;10;"{""RG""}";{88aff321-573f-45f3-a69b-c4a1d24574c9};Non;30.27375;30,27375;1170;172,5;150;30273750;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;160;220;180;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
79;1;78;79;;;DCIM/rivrimouski_20240825132724.jpg;2024/08/25 13:26:21.728;"{""Ch""}";5;P;1;50;40;10;"{""RG""}";{61ef65c7-f894-49a4-94e9-cf88a24e0283};Non;4.914;4,914;270;140;130;4914000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;140;170;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
80;1;79;80;;;DCIM/rivrimouski_20240825132836.jpg;2024/08/25 13:28:33.504;"{""Bc""}";5;P;2;60;40;;"{""RG""}";{4a65afcc-859b-45be-86c5-3e2ce8e52741};Non;3.29666666666667;3,296666667;860;76,66666667;50;3296666,667;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;40;130;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
81;1;80;81;;;DCIM/rivrimouski_20240825133931.jpg;2024/08/25 13:35:39.906;"{""Pl""}";10;M;2;40;50;10;"{""RG""}";{89d1d3a3-be77-45eb-ae36-89b2a3f116ec};Non;37.895;37,895;860;260;150;33540000;50;390;223,3333333;4355000;;;;0;;;;0;;;;0;MT LP;2;T;;;;;240;260;280;;;;270;160;240;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
82;1;81;82;;;DCIM/rivrimouski_20240825134214.jpg;2024/08/25 13:39:46.650;"{""Pl""}";10;M;1;70;10;20;"{""RG""}";{56513dc9-7e58-49b7-9470-bc38e4c2d996};Non;35.217;35,217;1170;215;140;35217000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;260;240;40;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
83;1;82;83;;;DCIM/rivrimouski_20240825134731.jpg;2024/08/25 13:43:12.179;"{""Ch""}";15;M;2;50;40;10;"{""RG""}";{9b96135f-2307-4328-bd13-4aee0f95d593};Non;46.588;46,588;1640;145;190;45182000;30;380;123,3333333;1406000;;;;0;;;;0;;;;0;MT LP;2;Y;;;;;20;80;220;260;;;130;90;150;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
84;1;83;84;;;DCIM/rivrimouski_20240825135503.jpg;2024/08/25 13:53:14.521;"{""Ch""}";5;M;1;60;30;10;"{""RG""}";{8f9e21e0-c372-4149-9a7d-026cb6040928};Non;20.4;20,4;600;226,6666667;150;20400000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;80;200;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
85;1;84;85;;;DCIM/rivrimouski_20240825135708.jpg;2024/08/25 13:55:22.720;"{""Ch""}";5;M;1;40;40;20;"{""RG""}";{82a3d7f4-733d-4287-a3f4-b91744a9247b};Non;10.08;10,08;480;116,6666667;180;10080000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;40;90;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
86;1;85;86;;;DCIM/rivrimouski_20240825140248.jpg;2024/08/25 13:57:52.048;"{""Ch""}";25;M;2;60;30;10;"{""RG""}";{72510883-3418-4aab-9eae-ef1a60670b67};Non;41.2266666666667;41,22666667;920;213,3333333;150;29440000;130;800;113,3333333;11786666,67;;;;0;;;;0;;;;0;MT LP;2;Discontinu;;;;;360;100;180;;;;100;80;160;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
87;1;86;87;;;DCIM/rivrimouski_20240825141236.jpg;2024/08/25 14:10:22.168;"{""Ch""}";5;M;1;80;20;;"{""RG""}";{465a8eeb-da5e-4584-adb1-5838b1d695d0};Non;8.88;8,88;600;123,3333333;120;8880000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;230;100;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
88;1;87;88;;;DCIM/rivrimouski_20240825141605.jpg;2024/08/25 14:13:07.340;"{""Ch""}";5;M;1;70;30;;"{""RG""}";{9c4d139b-0f12-417f-9e59-145758943737};Non;5.148;5,148;1040;82,5;60;5148000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;30;40;120;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
89;1;88;89;;;DCIM/rivrimouski_20240825142249.jpg;2024/08/25 14:22:48.237;"{""Ch""}";15;P;2;70;20;10;"{""RG""}";{826d92df-2f2b-4d78-80c4-fa9efebc725b};Non;101.22725;101,22725;2110;252,5;190;101227250;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;230;260;150;370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
90;1;89;90;;;DCIM/rivrimouski_20240825143005.jpg;2024/08/25 14:28:15.222;"{""Pl""}";5;P;2;50;25;25;"{""RG""}";{400867e8-41b2-411b-aaa2-3614fe52a026};Non;36.656;36,656;1160;197,5;160;36656000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;230;190;210;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
91;1;90;91;;;DCIM/rivrimouski_20240825143107.jpg;2024/08/25 14:31:05.586;"{""Ch""}";15;P;3;60;30;10;"{""RG""}";{72b34908-1664-42d3-b1d7-0b4f883d5f4b};Non;35.1225;35,1225;2230;225;70;35122500;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;230;180;240;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
92;1;91;92;;;DCIM/rivrimouski_20240825144646.jpg;2024/08/25 14:45:35.312;"{""Bc""}";5;D;3;95;5;;"{""RG""}";{55216797-fbb3-4d4b-9321-b312d1034b0f};Non;12.267;12,267;1160;117,5;90;12267000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;140;170;110;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
93;1;92;93;;;DCIM/rivrimouski_20240825145124.jpg;2024/08/25 14:49:19.048;"{""Bc""}";10;P;2;70;20;10;"{""RG""}";{cdf1b960-3188-40a6-b902-6338cbc86041};Non;16.3115;16,3115;1340;57,5;30;2311500;150;700;133,3333333;14000000;;;;0;;;;0;;;;0;MT LP;2;L;;;;;30;30;40;130;;;150;150;100;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
94;1;93;94;;;DCIM/rivrimouski_20240825145629.jpg;2024/08/25 14:54:23.800;"{""Bc""}";25;P;2;40;40;20;"{""RG""}";{dd0653b4-99d2-482f-b427-573784f9c1e0};Non;73.34;73,34;1330;207,5;160;44156000;160;960;190;29184000;;;;0;;;;0;;;;0;MT LP;2;L;;;;;130;150;300;250;;;260;120;190;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
95;1;94;95;;;DCIM/rivrimouski_20240825150210.jpg;2024/08/25 15:00:23.648;"{""Bc""}";5;M;2;40;40;20;"{""RG""}";{44e3e794-5713-416f-9840-55696cf296d3};Non;10.26;10,26;600;190;90;10260000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;40;180;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
96;1;95;96;;;;2024/08/25 15:05:12.322;"{""Ch""}";15;M;2;60;30;10;"{""RG""}";{d3ffba0e-2880-4304-b955-14e654ed639c};Non;73.284;73,284;1970;232,5;160;73284000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;260;200;200;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
97;1;96;97;;;DCIM/rivrimouski_20240825152435.jpg;2024/08/25 15:22:37.802;"{""Ch""}";5;M;1;80;10;10;"{""RG""}";{eb015d9a-4a29-449e-bf10-a02b3033b229};Non;3.97833333333333;3,978333333;550;103,3333333;70;3978333,333;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;100;60;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
98;1;97;98;;;DCIM/rivrimouski_20240825152745.jpg;2024/08/25 15:26:05.136;"{""Ch""}";5;M;2;40;50;10;"{""RG""}";{85275a03-4f9d-4a27-8ed7-a6dbc6a69922};Non;21.125;21,125;650;216,6666667;150;21125000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;200;250;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
99;1;98;99;;;DCIM/rivrimouski_20240825153348.jpg;2024/08/25 15:31:29.848;"{""Ch""}";5;D;3;20;70;10;"{""RG""}";{f4e827c7-ffd6-4045-8457-ff6d801b3c0e};Non;0.3;0,3;100;50;60;300000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;50;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;8806;cp;2016;5;5500
100;1;99;100;;;DCIM/rivrimouski_20240825153719.jpg;2024/08/25 15:34:15.746;"{""Ch""}";10;M;2;60;30;10;"{""RG""}";{4c87b0f8-63e7-4c91-a967-e0b63ad17f4b};Non;2.464;2,464;880;70;40;2464000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;50;60;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;8806;cp;2016;5;5500
101;1;100;101;;;DCIM/rivrimouski_20240825154857.jpg;2024/08/25 15:46:12.689;"{""Bc""}";5;M;1;60;40;;"{""RG""}";{3974cdee-869b-4635-b040-c5fcd34eabec};Non;0.645333333333333;0,645333333;440;73,33333333;20;645333,3333;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;80;80;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;8806;cp;2016;5;7000
102;1;101;102;;;DCIM/rivrimouski_20240825154957.jpg;2024/08/25 15:49:55.359;"{""Ch""}";5;M;1;60;20;20;"{""RG""}";{c343210e-8494-4c57-9267-0a26a15846fa};Non;2.25866666666667;2,258666667;440;73,33333333;70;2258666,667;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;150;50;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;8806;cp;2016;5;7000
103;1;102;103;;;DCIM/rivrimouski_20240825155645.jpg;2024/08/25 15:53:58.136;"{""Ch""}";5;P;1;50;50;;"{""RG""}";{c08cda0a-5ac6-4624-aafc-a4a52f18fcd7};Non;10.5;10,5;600;116,6666667;150;10500000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;200;100;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;8806;cp;2016;5;7000
104;1;103;104;;;DCIM/rivrimouski_20240825160051.jpg;2024/08/25 15:57:13.268;"{""Ch""}";10;M;2;70;25;5;"{""RG""}";{e1a348c8-ab63-4fb5-83ce-405e17d21888};Non;14.784;14,784;660;186,6666667;120;14784000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;300;200;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;8806;cp;2016;5;5500
105;1;104;105;;;DCIM/rivrimouski_20240826091553.jpg;2024/08/26 09:14:55.826;"{""Ch""}";5;D;1;90;10;;"{""RG""}";{1cade377-78f8-4864-af81-bafde18642c1};Non;10.56;10,56;880;200;60;10560000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;190;220;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;8806;cp;2016;5;29500
106;1;105;106;;;DCIM/rivrimouski_20240826091955.jpg;2024/08/26 09:17:51.896;"{""Ch""}";5;D;2;80;15;5;"{""RG""}";{44a0db28-9afa-464a-b5d1-3c48cfa0fa80};Non;41.16;41,16;700;326,6666667;180;41160000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;270;370;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;8806;cp;2016;5;29500
107;1;106;107;;;DCIM/rivrimouski_20240826092414.jpg;2024/08/26 09:21:50.855;"{""Ch""}";5;M;1;85;10;5;"{""RG""}";{d7f0a21e-4909-4bf0-abe5-401733953813};Non;52.2;52,2;2000;217,5;120;52200000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;250;300;270;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;8806;cp;2016;5;29500
108;1;107;108;;;DCIM/rivrimouski_20240826092738.jpg;2024/08/26 09:26:23.888;"{""Ch""}";5;M;2;80;15;5;"{""RG""}";{167d6fa3-18f8-4a70-b875-398306b3c979};Non;29.7;29,7;900;220;150;29700000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;330;260;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
109;1;108;109;;;DCIM/rivrimouski_20240826094215.jpg;2024/08/26 09:40:10.003;"{""Ch""}";40;D;3;85;10;5;"{""RG""}";{b73c80b5-7cba-4727-bfef-db5a40bbfd3c};Non;4356;4356;5000;1500;330;2475000000;330;6000;950;1881000000;;;;0;;;;0;;;;0;MT LP;2;Discontinu;Partie 2 du L estimée. était dans un chenal secondaire;;;;1500;2000;1000;2000;1000;1500;1500;1300;1100;800;600;400;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
110;1;109;110;;;DCIM/rivrimouski_20240826095526.jpg;2024/08/26 09:53:06.157;"{""Ch""}";5;M;1;80;10;10;"{""RG""}";{a09b5fed-ff5c-46f1-bbc8-1a91c795956f};Non;41.3725;41,3725;1340;237,5;130;41372500;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;250;230;220;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
111;1;110;111;;;DCIM/rivrimouski_20240826095948.jpg;2024/08/26 09:58:08.461;"{""Ch""}";10;D;2;70;20;10;"{""RG""}";{ba99c609-babe-4c2c-869c-f73b9da44319};Non;118.8;118,8;1200;450;220;118800000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;470;510;400;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
112;1;111;112;;;DCIM/rivrimouski_20240826101306.jpg;2024/08/26 10:12:29.882;"{""Bc""}";5;D;1;95;5;;"{""RG""}";{9dfac4c3-94e4-4348-8cd3-3053b64499a8};Non;6.95275;6,95275;1370;72,5;70;6952750;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;30;40;70;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
113;1;112;113;;;DCIM/rivrimouski_20240826101617.jpg;2024/08/26 10:14:59.524;"{""Bc""}";5;D;1;80;20;;"{""RG""}";{62e3ae22-af3d-40c1-95a6-b487c78a2f9c};Non;34.08975;34,08975;1390;272,5;90;34089750;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;290;310;240;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
114;1;113;114;;;DCIM/rivrimouski_20240826101823.jpg;2024/08/26 10:17:26.274;"{""Bc""}";;D;2;60;35;5;"{""RG""}";{83888503-3460-4a3d-bd40-b412a768020a};Non;25.92;25,92;1200;270;80;25920000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;170;360;370;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
115;1;114;115;;;DCIM/rivrimouski_20240826102150.jpg;2024/08/26 10:19:15.720;"{""Bc""}";;D;1;75;15;10;"{""RG""}";{2b8829ee-8f66-4dcd-95b2-c1b0ed0515d8};Non;16.0412;16,0412;90;166,6666667;110;1650000;50;530;50;1325000;140;510;183;13066200;;;;0;;;;0;MT LP;3;Discontinu;;;;;150;180;170;;;;30;70;50;;;;160;360;29;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
116;1;115;116;;;DCIM/rivrimouski_20240826102350.jpg;2024/08/26 10:22:25.939;"{""Ch""}";5;M;1;80;15;5;"{""RG""}";{c3c8a3bc-7b87-4696-8906-dc1021688dd5};Non;79.56;79,56;1170;425;160;79560000;;;;0;;;;0;;;;0;;;;0;MT LP;;;;;;;700;600;220;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
117;1;116;117;;;DCIM/rivrimouski_20240826102551.jpg;2024/08/26 10:24:38.369;"{""Bc""}";;D;2;75;15;10;"{""RG""}";{046ef68f-b05b-4a3a-a9e1-840820a96697};Non;33.33;33,33;1200;252,5;110;33330000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;330;320;230;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
118;1;117;118;;;DCIM/rivrimouski_20240826102744.jpg;2024/08/26 10:26:26.926;"{""Ch""}";5;M;1;75;15;10;"{""RG""}";{82217be5-97a9-421c-8972-07c04848fa9c};Non;39.615;39,615;1390;237,5;120;39615000;;;;0;;;;0;;;;0;;;;0;MT LP;1;Simple;;;;;240;130;300;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
