OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;Volume;Volume_Formule;longueur;largeur boîte 1;hauteur;Volume 1;longueur_2;hauteur_2;largeur boite 2;Volume 2;hauteur_3;longueur_3;largeur boite 3;Volume 3;hauteur_4;longueur_4;largeur boite 4;Volume 4;hauteur_5;longueur_5;largeur boite 5;Volume 5;Equipe;Nb_boites;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
153;1;152;448;;;DCIM/rivrimouski_20250726103709.jpg;2025/07/25 12:57:08.825;"{""Ch""}";5;D;2;40;30;30;"{""RG""}";{e231908c-9105-4760-9ccf-239dfa9e43b7};Non;7.2224;7,22;1480;122,00;40;7222400;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;38;100;180;170;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
154;1;153;449;;;DCIM/rivrimouski_20250726104057.jpg;2025/07/25 12:57:08.825;"{""Ch""}";3;D;1;20;65;15;"{""RG""}";{007c12c8-f4bb-4c67-bdaa-e6b33540e3fa};Non;4.704;4,70;980;160,00;30;4704000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;110;130;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
155;1;154;450;;;DCIM/rivrimouski_20250726104400.jpg;2025/07/25 12:57:08.825;"{""Pl""}";;D;1;58;10;32;"{""RG""}";{ec87a89e-94bd-4479-be49-8f1f703cd6ac};Non;140.058;140,06;5020;310,00;90;140058000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;30;80;200;440;460;650;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
156;1;155;451;;;DCIM/rivrimouski_20250726105627.jpg;2025/07/25 12:57:08.825;"{""Ch""}";3;D;2;50;30;20;"{""RD""}";{351b8e32-4491-4139-b9b5-b5cfaa862dea};Non;9.996;10,00;1020;140,00;70;9996000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;90;230;200;40;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
157;1;156;452;;;DCIM/rivrimouski_20250726110254.jpg;2025/07/25 12:57:08.825;"{""Ch""}";;D;1;30;50;20;"{""RG""}";{33452eed-6b93-406c-9481-83f0159e201e};Non;65.28;65,28;5760;283,33;40;65280000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;220;190;350;330;390;220;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
158;1;157;453;;;DCIM/rivrimouski_20250726110533.jpg;2025/07/25 12:57:08.825;"{""Pl""}";;D;1;20;70;10;"{""RG""}";{f2fad4ea-16d5-47c1-b4a7-a99f2e0763a9};Non;59.472;59,47;4130;360,00;40;59472000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;310;70;590;380;450;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
159;1;158;454;;;DCIM/rivrimouski_20250726110836.jpg;2025/07/25 12:57:08.825;"{""Ch""}";2;D;1;60;40;;"{""RD""}";{7c5594b7-fa44-4929-ad32-ebf9413408a6};Non;0.658666666666667;0,66;380;43,33;40;658666,6667;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;20;70;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
160;1;159;455;;;DCIM/rivrimouski_20250726110917.jpg;2025/07/25 12:57:08.825;"{""Ch""}";2;D;1;50;30;20;"{""RG""}";{0d3ba3c6-b377-400f-8483-c65f79fd9a96};Non;5.896;5,90;1340;110,00;40;5896000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;130;70;70;170;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
161;1;160;456;;;DCIM/rivrimouski_20250726111507.jpg;2025/07/25 12:57:08.825;"{""Ch""}";4;D;2;20;60;20;"{""RG""}";{27f1155b-a620-47a2-aaca-dfc64127d8b6};Non;37.7325;37,73;1290;325,00;90;37732500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;480;240;350;230;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
162;1;161;457;;;DCIM/rivrimouski_20250726111701.jpg;2025/07/25 12:57:08.825;"{""Ch""}";1;D;2;70;10;20;"{""RG""}";{e76736ec-337e-4242-b71d-6d67ea0f9c82};Non;9.744;9,74;1160;140,00;60;9744000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;330;110;80;40;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
163;1;162;458;;;DCIM/rivrimouski_20250726111819.jpg;2025/07/25 12:57:08.825;"{""Ch""}";3;D;2;50;25;25;"{""RG""}";{7124b511-521d-40f0-95af-a032c1dd9c84};Non;21.5025;21,50;1410;152,50;100;21502500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;90;260;140;120;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
164;1;163;459;;;DCIM/rivrimouski_20250726112001.jpg;2025/07/25 12:57:08.825;"{""Ch""}";7;D;2;50;40;10;"{""RG""}";{7f1d996a-1bd8-4c7c-9d5d-3db1786995b2};Non;20.1825;20,18;1150;135,00;130;20182500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;250;190;80;20;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
165;1;164;460;;;DCIM/rivrimouski_20250726112132.jpg;2025/07/25 12:57:08.825;"{""Ch""}";3;D;2;20;70;10;"{""RG""}";{f03c6a83-8b7f-40a4-87dc-3ac197f18b84};Non;14;14,00;1250;140,00;80;14000000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;220;70;30;240;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
166;1;165;461;;;DCIM/rivrimouski_20250726112306.jpg;2025/07/25 12:57:08.825;"{""Ch""}";3;D;1;20;70;10;"{""RG""}";{91916906-cb42-439b-b381-7f541cc82806};Non;11.5784;11,58;3530;164,00;20;11578400;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;330;90;110;110;180;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
167;1;166;462;;;DCIM/rivrimouski_20250726112439.jpg;2025/07/25 12:57:08.825;"{""Ch""}";7;D;2;50;20;30;"{""RG""}";{fbc8ca83-3748-429a-b78b-8a84a4f89e77};Non;16.0976666666667;16,10;1340;77,50;60;6231000;740;80;166,67;9866666,67;;;;0;;;;0;;;;0;Sam et julianne;2;T;;;;;130;110;30;40;;;200;140;160;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
168;1;167;463;;;DCIM/rivrimouski_20250726112727.jpg;2025/07/25 12:57:08.825;"{""Bc""}";30;D;3;70;5;25;"{""RG""}";{b44fe179-197e-426d-b9bc-8ae1aa76f4ef};Non;19040.32;19040,32;5970;1226,67;2600;19040320000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;2110;1530;1070;580;1260;810;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;60;;;;8806;cp;2016;5;30500
169;1;168;464;;;DCIM/rivrimouski_20250726114039.jpg;2025/07/25 12:57:08.825;"{""Ch""}";4;D;1;70;15;15;"{""RG""}";{5a22f600-04c7-4917-a5ca-483c6561d5e6};Non;9.072;9,07;810;140,00;80;9072000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;120;210;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;61;;;;8806;cp;2016;5;31000
170;1;169;465;;;DCIM/rivrimouski_20250726123737.jpg;2025/07/25 12:57:08.825;"{""Bc""}";5;D;2;95;5;;"{""RD""}";{474b3c32-b62c-49ac-b402-8359cef4d22d};Non;7.6125;7,61;1750;72,50;60;7612500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;30;70;90;100;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;62;;;;8806;cp;2016;5;31500
171;1;170;466;;;DCIM/rivrimouski_20250726124911.jpg;2025/07/25 12:57:08.825;"{""Ch""}";5;M;2;80;10;10;"{""RG""}";{6a7db546-1673-403e-b2ce-7cea6d371b67};Non;25.758;25,76;1620;132,50;120;25758000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;50;50;130;300;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;62;;;;8806;cp;2016;5;31500
172;1;171;467;;;DCIM/rivrimouski_20250726125510.jpg;2025/07/25 12:57:08.825;"{""Ch""}";5;P;1;60;20;20;"{""RG""}";{5e7955a3-3042-4553-9480-cd96277eb3ea};Non;43.65;43,65;2250;242,50;80;43650000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;210;390;250;120;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;62;;;;8806;cp;2016;5;31500
173;1;172;468;;;DCIM/rivrimouski_20250726125923.jpg;2025/07/25 12:57:08.825;"{""Bc""}";5;M;1;70;15;15;"{""RD""}";{8194d33d-4fd7-4fd0-9ef6-f2e3402e9e35};Non;6.237;6,24;870;110,00;60;5742000;450;30;36,67;495000,00;;;;0;;;;0;;;;0;Sam et julianne;2;T;;;;;140;60;130;;;;40;40;30;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;62;;;;8806;cp;2016;5;31500
174;1;173;469;;;DCIM/rivrimouski_20250726130154.jpg;2025/07/25 12:57:08.825;"{""Bc""}";5;D;1;40;20;40;"{""RD""}";{230a559c-d64a-406a-be9e-e91e42f0d850};Non;2.04533333333333;2,05;590;26,67;130;2045333,333;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;10;40;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;62;;;;8806;cp;2016;5;31500
175;1;174;470;;;DCIM/rivrimouski_20250726130326.jpg;2025/07/25 12:57:08.825;"{""Bc""}";5;D;1;90;10;;"{""RD""}";{18b47dc2-70f6-4431-92a8-cf4815c7ffeb};Non;1.314;1,31;730;60,00;30;1314000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;50;60;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;62;;;;8806;cp;2016;5;31500
176;1;175;471;;;DCIM/rivrimouski_20250726130535.jpg;2025/07/25 12:57:08.825;"{""Bc""}";5;D;1;85;10;5;"{""RD""}";{12641941-7d92-4d7d-b4b1-c75dd68d6811};Non;1.62;1,62;1200;45,00;30;1620000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;20;20;80;60;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;62;;;;8806;cp;2016;5;31500
177;1;176;472;;;DCIM/rivrimouski_20250726130822.jpg;2025/07/25 12:57:08.825;"{""Bc""}";5;D;2;90;5;5;"{""RD""}";{6e2f2f10-2afe-4368-ba72-d55f27b1aea6};Non;3.63416666666667;3,63;550;53,33;50;1466666,667;1020;50;42,50;2167500,00;;;;0;;;;0;;;;0;Sam et julianne;2;T;;;;;40;80;40;;;;50;40;40;40;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;62;;;;8806;cp;2016;5;31500
178;1;177;473;;;DCIM/rivrimouski_20250726130927.jpg;2025/07/25 12:57:08.825;"{""Bc""}";1;D;1;95;5;;"{""RD""}";{733f1655-ecd2-4dc4-ac37-5fa4b0630814};Non;0.57;0,57;380;50,00;30;570000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;50;40;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
179;1;178;474;;;DCIM/rivrimouski_20250726131036.jpg;2025/07/25 12:57:08.825;"{""Bc""}";1;M;2;90;5;5;"{""RD""}";{f942235b-9e2c-4437-b86d-f26350c34b15};Non;1.56;1,56;650;80,00;30;1560000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;130;60;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
180;1;179;475;;;DCIM/rivrimouski_20250726131301.jpg;2025/07/25 12:57:08.825;"{""Bc""}";1;D;1;95;;5;"{""RD""}";{df5f5e40-9766-4cb1-bd48-4b2d2d804145};Non;2.8795;2,88;1370;65,00;30;2671500;520;20;20,00;208000,00;;;;0;;;;0;;;;0;Sam et julianne;2;T;;;;;30;40;80;110;;;20;20;20;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
181;1;180;476;;;DCIM/rivrimouski_20250726131604.jpg;2025/07/25 12:57:08.825;"{""Bc""}";5;D;1;70;25;5;"{""RD""}";{476db3a4-68f1-49b3-a4dd-df62cdd4304a};Non;6.986;6,99;4990;70,00;20;6986000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;180;100;10;20;40;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
182;1;181;477;;;DCIM/rivrimouski_20250726132422.jpg;2025/07/25 12:57:08.825;"{""Ch""}";5;P;1;80;10;10;"{""RG""}";{efbd99be-5548-4654-aba5-45b061553a3a};Non;8.1;8,10;2250;60,00;60;8100000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;20;80;60;80;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
183;1;182;478;;;DCIM/rivrimouski_20250726132947.jpg;2025/07/25 12:57:08.825;"{""Ch""}";1;P;1;80;5;15;"{""RG""}";{5fbe13d3-1197-42f4-880a-020dc7c1c74b};Non;199.92;199,92;4200;238,00;200;199920000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;50;160;260;170;550;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
184;1;183;479;;;DCIM/rivrimouski_20250726133838.jpg;2025/07/25 12:57:08.825;"{""Ch""}";10;M;3;35;35;30;"{""RG""}";{c2806360-d84a-4e24-8497-80e377743f07};Non;2422.5;2422,50;4750;1133,33;450;2422500000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;1000;1500;1500;1000;1300;500;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
185;1;184;480;;;DCIM/rivrimouski_20250726134444.jpg;2025/07/25 12:57:08.825;"{""Ch""}";5;M;2;50;25;25;"{""RG""}";{a1c6b563-584f-4088-85f7-84b0c6187b9e};Non;108.237;108,24;3310;218,00;150;108237000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;60;60;160;510;300;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
186;1;185;481;;;DCIM/rivrimouski_20250726135235.jpg;2025/07/25 12:57:08.825;"{""Ch""}";5;M;2;50;25;25;"{""RG""}";{dcfb44ea-8043-4131-be81-a9190f836c77};Non;393.96;393,96;4200;268,00;350;393960000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;750;100;60;160;270;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
187;1;186;482;;;DCIM/rivrimouski_20250726135856.jpg;2025/07/25 12:57:08.825;"{""Ch""}";1;D;1;90;5;5;"{""RG""}";{214a5663-9868-4e06-99dd-583a0e10b6b9};Non;4.425;4,43;1770;62,50;40;4425000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;70;50;100;30;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
188;1;187;483;;;DCIM/rivrimouski_20250726140207.jpg;2025/07/25 12:57:08.825;"{""Pl""}";1;M;1;70;10;20;"{""RG""}";{2b882877-f251-47df-8fed-ddbaff90b6f4};Non;47.9655;47,97;1710;165,00;170;47965500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;70;220;300;70;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
189;1;188;484;;;DCIM/rivrimouski_20250726140359.jpg;2025/07/25 12:57:08.825;"{""Bc""}";1;M;2;90;10;;"{""RG""}";{ac152a9f-f640-4828-aa86-898578353ab6};Non;5.22666666666667;5,23;980;106,67;50;5226666,667;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;100;120;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
190;1;189;485;;;DCIM/rivrimouski_20250726141218.jpg;2025/07/25 12:57:08.825;"{""Bc""}";5;D;2;90;5;5;"{""RD""}";{1ef2e4c9-f003-46da-93c7-d6cc45c65b38};Non;2.44066666666667;2,44;700;103,33;30;2170000;580;20;23,33;270666,67;;;;0;;;;0;;;;0;Sam et julianne;2;T;;;;;30;90;190;;;;30;20;20;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
191;1;190;486;;;DCIM/rivrimouski_20250726141550.jpg;2025/07/25 12:57:08.825;"{""Bc""}";1;D;1;40;50;10;"{""RD""}";{aa4997e4-b67f-4818-8056-e27b8c4cfd80};Non;1.31325;1,31;1030;127,50;10;1313250;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;70;160;160;120;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
192;1;191;487;;;DCIM/rivrimouski_20250726141717.jpg;2025/07/25 12:57:08.825;"{""Bc""}";1;D;1;90;5;5;"{""RD""}";{ec2f12f6-933a-4427-b53c-b258692e098d};Non;1.3;1,30;500;86,67;30;1300000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;90;100;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
193;1;192;488;;;DCIM/rivrimouski_20250726141825.jpg;2025/07/25 12:57:08.825;"{""Bc""}";1;D;1;90;5;5;"{""RD""}";{2b4a2e20-9f07-44ef-9cec-ee32bdac4534};Non;1.748;1,75;570;76,67;40;1748000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;40;90;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
194;1;193;489;;;DCIM/rivrimouski_20250726142028.jpg;2025/07/25 12:57:08.825;"{""Bc""}";10;D;2;70;20;10;"{""RD""}";{498ad9e6-b837-46b5-90e6-607c37917b75};Non;17.69;17,69;870;406,67;50;17690000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;210;710;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;63;;;;8806;cp;2016;5;32000
